Internal Title	Display Title	Intro Point	Loop Point	Internal Series	Display Game	Weight
sammer kingdom	Sammer's Kingdom	12.566	74.783	mario	Super Paper Mario	1
badeline fight	Confronting Myself	16.306	132.701	celeste	Celeste	1
MEGALOVANIA	MEGALOVANIA	0	-1	undertale	UNDERTALE	1
spear of justice	Spear of Justice	0	-1	undertale	UNDERTALE	1
sephiroth	One-Winged Angel Rebirth	11.108	611.591	other	Final Fantasy VII Remake	1
zomboss	Brainiac Maniac	0	-1	pvz	Plants VS Zombies	1
dadbattle	Dad Battle	10.673	74.682	other	Friday Night Funkin'	1
kamek battle	Malevolent Magikoopa	11.882	91.903	mario	Paper Mario: Sticker Star	1
zen	Zen Ball Master	0	-1	other	Kung Fu Panda 2	1
cornered anime	Pursuit ~ Cornered (TV Series)	6.396	44.81	pwaa	Ace Attorney (TV Series)	1
grand finale	The Grand Finale DX	9.232	92.306	mario	Mario & Luigi: Bowser's Inside Story	1
pikmin 2 boss	Boss Battle	7.406	117.0	other	Pikmin 2	1
arstozka	Papers, Please	1.297	102.721	other	Papers, Please	1
cornered marvel	Pursuit ~ Cornered (Marvel VS Capcom)	6.447	83.659	pwaa	Marvel VS Capcom 3	1
crowned	C-R-O-W-N-E-D	15.204	147.191	kirby	Kirby's Return to Dream Land	1
vs fawful	Fawful & Cackletta Battle!	1.199	47.586	mario	Mario & Luigi: Superstar Saga
